"","Broad grouping","Scientific_Name","Common_Name","CalCOFI sampled species","Federal Fished Species","Federal Marine Mammal Species","Threatened & Endangered Species","State Commercial Species","State Rec Species"
"1352","Inverts/Zooplankton","Pasiphaea pacifica",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1353","Inverts/Zooplankton","Pasiphaea spp",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1354","Algae/Phytoplankton","Haslea wawrikae",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1355","Inverts/Zooplankton","Helicosalpa virgula",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1356","Algae/Phytoplankton","Thalassiosira simonsenii",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1357","Algae/Phytoplankton","pennate sp",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1358","Algae/Phytoplankton","pennate sp  2",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1359","Algae/Phytoplankton","pennate sp  3",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1360","Algae/Phytoplankton","Hemiaulus membranaceus",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1361","Algae/Phytoplankton","pennate sp  5",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1362","Algae/Phytoplankton","Hemiaulus sp",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1363",NA,"Perciformes",NA,NA,NA,NA,NA,NA,NA
"1364","Algae/Phytoplankton","Protoperidinium tenuissimum",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1365","Algae/Phytoplankton","Meringosphaera spp",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1366","Algae/Phytoplankton","Peridinium steinii + P  tuba",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1367","Inverts/Zooplankton","Heterorhabdus papilliger",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1368","Algae/Phytoplankton","Histoneis cf  longicollus",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1369","Inverts/Zooplankton","Metridia cf  pacifica",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1370","Inverts/Zooplankton","Hydromedusa",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1371","Fish","Hygophum",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1372",NA,"Hygophum spp.",NA,NA,NA,NA,NA,NA,NA
"1373",NA,"Hypsoblennius spp.",NA,NA,NA,NA,NA,NA,NA
"1374","Inverts/Zooplankton","Pleuromamma abdominalis typica",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1375","Inverts/Zooplankton","Ihlea punctata",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1376","Inverts/Zooplankton","Pyrosomella verticillata",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1377","Algae/Phytoplankton","Kofoidinium sp",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1378","Inverts/Zooplankton","Salpa aspera",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1379",NA,"Lampanyctus omostigma",NA,NA,NA,NA,NA,NA,NA
"1380",NA,"Lampanyctus tenuiformis",NA,NA,NA,NA,NA,NA,NA
"1381","Algae/Phytoplankton","Pseudo-nitzschia ""minute""",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1382","Fish","Pleuronichthys",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1383","Algae/Phytoplankton","robust Pseudonitzschia spp",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1384","Algae/Phytoplankton","Pseudosolenia calcar-avis",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1385",NA,"Leptocephalus holti",NA,NA,NA,NA,NA,NA,NA
"1386","Algae/Phytoplankton","Leptocylindrus danicus + L  minimus",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1387","Algae/Phytoplankton","Leptocylindrus mediterraneus",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1388","Algae/Phytoplankton","Podosira sp  (""with crud"")",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1389","Algae/Phytoplankton","Licmophora spp",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1390","Algae/Phytoplankton","Nitzschia cf  interruptastriata - long slim form",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1391","Algae/Phytoplankton","Lioloma delicatulum + L  pacificum",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1392",NA,"Liparis spp.",NA,NA,NA,NA,NA,NA,NA
"1393","Algae/Phytoplankton","Pyrocystis acuta",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1394","Algae/Phytoplankton","Liriogramma complex",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1395","Algae/Phytoplankton","Lithodesmum undulatum",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1396","Bacterioplankton","Prochlorococcus",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1397","Algae/Phytoplankton","Pronoctiluca acuta + P  spinifera",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1398",NA,"Lythrypnus spp.",NA,NA,NA,NA,NA,NA,NA
"1399","Algae/Phytoplankton","Mastogloia rostrata",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1400","Algae/Phytoplankton","Oxytoxum longum",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1401","Algae/Phytoplankton","Thalassionema nitzschioides var  a",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1402","Algae/Phytoplankton","Prorocentrum cinctum",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1403",NA,"Melamphaes spp.",NA,NA,NA,NA,NA,NA,NA
"1404","Algae/Phytoplankton","Membraneis challengeri",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1405","Algae/Phytoplankton","Rhisosolenia hebetata f  semispina",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1406","Inverts/Zooplankton","Mesocalanus lighti",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1407","Inverts/Zooplankton","Mesocalanus tenuicornis",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1408","Algae/Phytoplankton","Prorocentrum sp  a",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1409","Inverts/Zooplankton","Tomopteris spp",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1410","Fish","Microstoma",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1411","Algae/Phytoplankton","Protoceratium areolatum",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1412",NA,"Physiculus spp.",NA,NA,NA,NA,NA,NA,NA
"1413","Fish","Nannobrachium",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1414",NA,"Nannobrachium bristori",NA,NA,NA,NA,NA,NA,NA
"1415",NA,"Nannobrachium hawaiiensis",NA,NA,NA,NA,NA,NA,NA
"1416","Algae/Phytoplankton","Oxytoxum cf variabile",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1417","Inverts/Zooplankton","Nannocalanus minor",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1418","Inverts/Zooplankton","Pleuromamma piseki",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1419","Inverts/Zooplankton","Neocalanus cristatus",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1420","Inverts/Zooplankton","Neocalanus flemingeri",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1421","Inverts/Zooplankton","Salpa spp",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1422",NA,"Pleuronectiformes",NA,NA,NA,NA,NA,NA,NA
"1423","Algae/Phytoplankton","undistinguished pennate diatoms",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1424","Fish","Scorpaena",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1425","Algae/Phytoplankton","Syracosphaera histrica",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1426","Algae/Phytoplankton","Nitzschia bicapitata",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1427","Algae/Phytoplankton","Nitzschia bicapitata -minute form",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1428","Algae/Phytoplankton","Paleophalacroma cf  unicinctum",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1429","Algae/Phytoplankton","Pterosperma marginatum",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1430","Inverts/Zooplankton","Scolecithrix danae",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1431","Algae/Phytoplankton","Pontosphaera discopora",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1432","Algae/Phytoplankton","Ptychodiscus noctiluca",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1433","Algae/Phytoplankton","Thalassiosira cf lineoides",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1434","Algae/Phytoplankton","Pyrocystis fusiformis",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1435","Algae/Phytoplankton","Nitzschia kolaczekii",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1436","Inverts/Zooplankton","Pyrosoma atlanticum",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1437","Algae/Phytoplankton","Nitzschia sicula",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1438","Algae/Phytoplankton","Thalassiothrix sp",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1439","Inverts/Zooplankton","Thalia democratica",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1440","Algae/Phytoplankton","slim Pseudo-nitzschia spp",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1441","Algae/Phytoplankton","Umbellosphaera tenuis",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1442","Inverts/Zooplankton","Subeucalanus crassus",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1443","Algae/Phytoplankton","Odontella weissflogii",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1444","Inverts/Zooplankton","Rhincalanus nasutus",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1445","Algae/Phytoplankton","Umbilicosphaera sibogae",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1446","Algae/Phytoplankton","Peridinium nipponicum + P  pyriforme",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1447","Algae/Phytoplankton","Rhizosolenia imbricata",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1448","Algae/Phytoplankton","Syracosphaera prolongata",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1449",NA,"Unidentified",NA,NA,NA,NA,NA,NA,NA
"1450","Inverts/Zooplankton","Weelia cylindrica",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1451","Algae/Phytoplankton","Spatulodinium sp",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1452","Algae/Phytoplankton","Pleurosigma directum",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1453","Algae/Phytoplankton","Oxytoxum cf  laticeps type",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1454","Inverts/Zooplankton","Pleuromamma abdominalis edentata",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1455","Algae/Phytoplankton","Oxytoxum cf nanum",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1456","Inverts/Zooplankton","Pleuromamma borealis",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1457","Inverts/Zooplankton","Pleuromamma gracilis",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1458","Algae/Phytoplankton","Protoperidinium pallidum",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1459","Algae/Phytoplankton","Thalassiosira cf  oestrupii",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1460","Inverts/Zooplankton","Salpa maxima",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1461","Inverts/Zooplankton","Ritteriella retracta",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1462","Fish","Syngnathus",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1463",NA,"Taaningichthys minimus",NA,NA,NA,NA,NA,NA,NA
"1464","Algae/Phytoplankton","Pleurosigma cf normanii",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1465","Inverts/Zooplankton","Radiolaria",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1466","Algae/Phytoplankton","Pleurosigma nicobaricum",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1467","Algae/Phytoplankton","Podolampas bipes",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1468","Algae/Phytoplankton","Protoperidinium leonis",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1469","Algae/Phytoplankton","Thalassionema bacillare",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1470","Algae/Phytoplankton","undistinguished coccolithophore spp",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1471","Algae/Phytoplankton","Pterosperma pentagonum",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1472","Algae/Phytoplankton","Prorocentrum dactylus",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1473",NA,"Poromitra megalops",NA,NA,NA,NA,NA,NA,NA
"1474","Algae/Phytoplankton","Thalassiosira eccentrica",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1475","Inverts/Zooplankton","Pegea confoederata",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1476","Algae/Phytoplankton","Proboscia alata",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1477","Algae/Phytoplankton","Prorocentrum vaginulum",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1478","Algae/Phytoplankton","Prorocentrum, undistiguished spp",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1479","Algae/Phytoplankton","Pronoctiluca pelagica",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1480","Algae/Phytoplankton","Stellarima stellaris",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1481","Algae/Phytoplankton","Prorocentrum cf  triestinum",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1482","Algae/Phytoplankton","Protoperidinium divergense complex",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1483","Inverts/Zooplankton","Ritteriella spp",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1484","Algae/Phytoplankton","undistinguished diatom species",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1485",NA,"Stomiiformes",NA,NA,NA,NA,NA,NA,NA
"1486","Algae/Phytoplankton","Prorocentrum gracile",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1487","Fish","Sebastolobus",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1488","Algae/Phytoplankton","Periphyllophora mirabilis",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1489","Algae/Phytoplankton","Thalassiosira aestivalis",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1490","Algae/Phytoplankton","Pyrophacus sp",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1491","Algae/Phytoplankton","Thalassiosira endoseriata",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1492","Algae/Phytoplankton","undistinguished thecate dinoflagellate spp",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1493","Algae/Phytoplankton","Planktoniella sol",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1494","Algae/Phytoplankton","Protoperidinium depressum",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1495","Algae/Phytoplankton","Pterosperma cf cuboides",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1496","Fish","Vinciguerria",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1497","Algae/Phytoplankton","Thalassionema nitzschioides",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1498","Algae/Phytoplankton","Prorocentrum compressum",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1499","Algae/Phytoplankton","undistinguished silicoflagellate spp",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1500","Inverts/Zooplankton","Pleuroncodes planipes",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1501","Algae/Phytoplankton","undistinguished athecate dinoflagellate spp",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1502",NA,"Zaniolepis spp.",NA,NA,NA,NA,NA,NA,NA
"1503","Algae/Phytoplankton","Rhizosolenia robusta",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1504","Algae/Phytoplankton","Stephanopyxis turris",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1505","Algae/Phytoplankton","Thalassiosira rotula",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1506","Algae/Phytoplankton","Thoracosphaera heimii",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1507","Algae/Phytoplankton","Rhabsosphaera cf tenuistylus (""hollow ball"")",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1508","Algae/Phytoplankton","undistinguished Pterosperma spp",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1509","Inverts/Zooplankton","Thetys vagina",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1510","Algae/Phytoplankton","Prorocentrum cf  balticum",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1511","Algae/Phytoplankton","undistiguished Gyrosigma spp  +Pleurosigma spp",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1512","Algae/Phytoplankton","Syracosphaera pirus",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1513","Algae/Phytoplankton","Spiraulax sp",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
